wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
790.469,101.7016734,100.6392205,100.5104051,101.2695019,100.7086213
790.644,101.7361638,100.5689407,100.4771502,101.1901975,100.7415236
790.819,101.5720634,100.4139381,100.3719896,100.9943357,100.5487111
790.995,101.5159251,100.3477822,100.35388,100.8767033,100.5872383
791.17,101.4391785,100.2624379,100.2924516,100.7148136,100.5795294
791.345,101.4326837,100.2475754,100.4204623,100.7115206,100.5978664
791.52,101.3383068,100.2393268,100.3831541,100.7016437,100.5593366
791.695,101.3731296,100.1796229,100.3690511,100.6764735,100.5555912
791.87,101.2361724,100.0862355,100.2772364,100.6592317,100.4519023
792.045,101.3231516,100.2051113,100.4143584,100.7607053,100.5267368
792.22,101.2844458,100.116252,100.4138139,100.7321336,100.5204418
792.395,101.2738218,100.0818969,100.4020583,100.6517122,100.5023249
792.57,101.2984373,100.1385019,100.4092511,100.7164862,100.5297408
792.745,101.3300021,100.1561736,100.3658741,100.7249442,100.5608641
792.92,101.4276728,100.240138,100.4763195,100.8387381,100.6364337
793.095,101.5004501,100.3099365,100.4904834,100.9200149,100.6458394
793.27,101.5978303,100.3462904,100.4990036,100.97051,100.776285
793.445,101.6781968,100.3294667,100.4844612,100.9683382,100.8257569
793.62,101.5532189,100.2578596,100.4509445,100.878404,100.7264237
793.794,101.6367655,100.288395,100.509752,100.8300727,100.7079997
793.969,101.608991,100.2489429,100.4765088,100.7696385,100.6698374
794.144,101.640194,100.3687292,100.5211524,100.8480594,100.7720524
794.319,101.6441632,100.333426,100.5653708,100.8628535,100.7930239
794.494,101.6403581,100.3623925,100.59756,100.9320173,100.8089562
794.668,101.7135732,100.373081,100.6786614,100.9754011,100.8712497
794.843,101.854144,100.5293858,100.8396676,101.1339718,101.0561304
795.018,101.8478574,100.5569098,100.7768418,101.0683907,101.0886677
795.192,101.8065481,100.4842277,100.7674219,100.9748838,100.9573339
795.367,101.8066891,100.4863786,100.8268347,101.0272971,100.9438913
795.542,101.924785,100.5644751,100.9147037,101.1902315,101.0563647
795.716,101.8269628,100.5243764,100.8301893,101.1697349,101.0760092
795.891,101.7821305,100.4708703,100.7265348,101.1629134,101.0167531
796.066,101.8660748,100.4858223,100.7625531,101.1654052,101.0588809
796.24,101.8135627,100.4903505,100.7254342,101.1810648,101.0534877
796.415,101.8870787,100.4903755,100.7326879,101.1624142,101.1138194
796.589,101.9045112,100.5523941,100.6955456,101.1555384,101.112332
796.764,101.9913242,100.6180187,100.7139146,101.3716612,101.1854364
796.938,101.9984587,100.646099,100.7982396,101.4670682,101.1208496
797.113,101.9317638,100.5024557,100.6119426,101.3602129,101.0044948
797.287,101.9668013,100.580173,100.6297088,101.3857111,101.0220613
797.462,101.8516435,100.4654586,100.4634517,101.2029167,100.8502693
797.636,101.973696,100.5555208,100.5441628,101.3191944,100.90578
797.81,102.0499901,100.6131884,100.5714447,101.3505396,100.9714315
797.985,102.0397323,100.6637581,100.6185316,101.418049,100.9757736
798.159,102.130605,100.7222091,100.6673478,101.4095831,101.0237581
798.334,102.1096073,100.7396537,100.6673361,101.3406548,100.939039
798.508,101.9628405,100.6356403,100.6920358,101.3469749,100.9129059
798.682,101.7216,100.3538425,100.4318328,100.9588963,100.6574459
798.856,101.8328369,100.3974067,100.5972942,101.0033088,100.8323107
799.031,102.0913332,100.6673501,100.8068664,101.2705987,101.0770577
799.205,101.9898154,100.482533,100.7152993,101.1147836,101.0312224
799.379,102.0528589,100.538986,100.7635137,101.1960323,101.19706
799.553,101.9698005,100.4874154,100.7816583,101.1323253,101.1428186
799.728,101.9383513,100.4311271,100.7806978,101.1254336,101.1060839
799.902,101.9211588,100.3976206,100.7647813,101.1273698,101.1320946
800.076,101.9033938,100.3429894,100.7021331,101.2107562,101.1679656
800.25,101.8474786,100.22439,100.6914431,101.2307434,101.1955018
800.424,102.0463955,100.4076625,100.8420886,101.3143213,101.3266419
800.598,102.0604796,100.4687832,100.9343777,101.3880685,101.332839
800.772,101.9697352,100.3969615,100.7876288,101.30721,101.207457
800.946,101.8440691,100.3506658,100.7874161,101.2517935,101.1949895
801.12,101.9457405,100.4967766,100.8695598,101.3754903,101.2551228
801.294,101.9248249,100.4830768,100.8794424,101.4065537,101.2390437
801.468,102.0744372,100.5593766,100.9054319,101.4502735,101.2983243
801.642,102.0917098,100.6011442,100.9787001,101.5224566,101.3892269
801.816,102.164403,100.6311482,101.0980586,101.5444363,101.4152621
801.99,102.2060405,100.6692079,101.1532054,101.4913223,101.3978132
802.164,102.2371319,100.7578407,101.1106321,101.4606872,101.3528083
802.338,102.265361,100.7591061,101.1436977,101.5633601,101.371778
802.512,102.2970479,100.8193038,101.1904527,101.6372077,101.3830496
802.686,102.3247488,100.8007986,101.2740324,101.6854466,101.380952
802.86,102.2345747,100.7864307,101.1632784,101.6728625,101.3257573
803.033,102.1641126,100.6755362,101.083779,101.633643,101.2250236
803.207,102.2962062,100.7849639,101.2299576,101.7631066,101.3197695
803.381,102.237313,100.740667,101.2267949,101.7857951,101.3645807
803.555,102.3211268,100.8847145,101.2821427,101.8055086,101.3627882
803.729,102.2272423,100.8268198,101.2012773,101.7453641,101.2997242
803.902,102.4029137,100.9262432,101.3304468,101.9178192,101.417016
804.076,102.5078473,100.9972537,101.4685446,102.077954,101.5701143
804.25,102.5035708,100.9136928,101.3340866,101.9430719,101.5397724
804.423,102.6950964,101.0455725,101.4948427,102.0863737,101.7564626
804.597,102.7233318,101.0919308,101.4800034,102.1324791,101.8219403
804.771,102.8203206,101.0462289,101.6096008,102.1228217,101.7789705
804.944,102.8589295,101.1287015,101.7539415,102.2076452,101.9177327
805.118,102.806569,101.0527433,101.6555367,102.0885939,101.8908202
805.291,103.0336055,101.222316,101.7204248,102.2715797,102.0528499
805.465,103.0193132,101.109106,101.6078446,102.3228559,102.1047979
805.638,103.1970283,101.1520605,101.6529159,102.4467904,102.2628422
