genes,signedlogP
evm.TU.Ap1.1293,-0.417105319312753
evm.TU.Ap1.1294,-5.8994145094992
evm.TU.Ap1.1295,0.356092864906191
evm.TU.Ap1.1296,0.479948599642124
evm.TU.Ap1.1297,NA
evm.TU.Ap1.1298,1.0606816248628
evm.TU.Ap1.1299,1.56162459827466
evm.TU.Ap1.13,8.75588034061158
evm.TU.Ap1.130,-0.136691699617645
evm.TU.Ap1.1300,0.692855612516272
evm.TU.Ap1.1301,NA
evm.TU.Ap1.1302,-0.0664977216961268
evm.TU.Ap1.1303,-0.027679348205597
evm.TU.Ap1.1304,-0.61474803082438
evm.TU.Ap1.1305,-0.831447347085935
evm.TU.Ap1.1306,-2.96726587725943
evm.TU.Ap1.1307,1.71918041639478
evm.TU.Ap1.1308,0.780390260755935
evm.TU.Ap1.1309,0.633604476900145
evm.TU.Ap1.131,0.374328353142653
evm.TU.Ap1.1310,0.164428356338059
evm.TU.Ap1.1311,-0.564870449910704
evm.TU.Ap1.1312,1.76724430354955
evm.TU.Ap1.1313,-0.13449577854923
evm.TU.Ap1.1314,NA
evm.TU.Ap1.1315,NA
evm.TU.Ap1.1316,-0.00092783497560843
evm.TU.Ap1.1317,NA
evm.TU.Ap1.1318,-0.0360693970644585
evm.TU.Ap1.1319,NA
evm.TU.Ap1.132,-0.0681123533699651
evm.TU.Ap1.1320,-0.0360697838224904
evm.TU.Ap1.1321,NA
evm.TU.Ap1.1322,NA
evm.TU.Ap1.1323,NA
evm.TU.Ap1.1324,-0.000928276704003291
evm.TU.Ap1.1325,NA
evm.TU.Ap1.1326,-0.0360693970644585
evm.TU.Ap1.1327,NA
evm.TU.Ap1.1328,-0.114967098692756
evm.TU.Ap1.1329,NA
evm.TU.Ap1.133,0.921434404720921
evm.TU.Ap1.1330,NA
evm.TU.Ap1.1331,NA
evm.TU.Ap1.1332,NA
evm.TU.Ap1.1333,NA
evm.TU.Ap1.1334,-0.0412934910565989
evm.TU.Ap1.1335,NA
evm.TU.Ap1.1337_evm.TU.Ap1.1336,-9.21827124684322
evm.TU.Ap1.1338,-0.143075815908407
evm.TU.Ap1.1339,-0.203770677099395
evm.TU.Ap1.134,2.70590241181231
evm.TU.Ap1.1340,-0.0402274984845227
evm.TU.Ap1.1341,NA
evm.TU.Ap1.1342,NA
evm.TU.Ap1.1343,-0.000976885971005638
evm.TU.Ap1.1344,-0.439047666414631
evm.TU.Ap1.1345,-0.0360693970644587
evm.TU.Ap1.1346,0.0317719981928539
evm.TU.Ap1.1347,0.220884276467712
evm.TU.Ap1.1348,-0.0360698605336021
evm.TU.Ap1.1349,NA
evm.TU.Ap1.135,0.034675788566368
evm.TU.Ap1.1350,NA
evm.TU.Ap1.1351,-1.33062263258705
evm.TU.Ap1.1352,NA
evm.TU.Ap1.1353,-0.0594824116138118
evm.TU.Ap1.1354,NA
evm.TU.Ap1.1355,0.0317719981928539
evm.TU.Ap1.1356,-0.521990342650291
evm.TU.Ap1.1357,NA
evm.TU.Ap1.1358,NA
evm.TU.Ap1.1359,NA
evm.TU.Ap1.136,-1.13181103530478
evm.TU.Ap1.1360,NA
evm.TU.Ap1.1361,-2.40158279190619
evm.TU.Ap1.1362,NA
evm.TU.Ap1.1363,-2.66599172688905
evm.TU.Ap1.1364,-0.300072685333777
evm.TU.Ap1.1365,-0.129238446309556
evm.TU.Ap1.1366,-0.343446718068489
evm.TU.Ap1.1367,0.297833528835868
evm.TU.Ap1.1368,-0.000928276704003291
evm.TU.Ap1.1369,NA
evm.TU.Ap1.137,0.68653803106185
evm.TU.Ap1.1370,-2.7873669549524
evm.TU.Ap1.1371,0.828045612043247
evm.TU.Ap1.1372,0.455927555184213
evm.TU.Ap1.1373,1.3474532445114
evm.TU.Ap1.1374,-1.1689858410992
evm.TU.Ap1.1375,0.843881356267169
evm.TU.Ap1.1376,-1.9837308322367
evm.TU.Ap1.1377,-6.10705088550284
evm.TU.Ap1.1378,1.63217622933152
evm.TU.Ap1.1379,-0.412954808808343
evm.TU.Ap1.138,0.00491382029695314
evm.TU.Ap1.1380,-1.08464069223563
evm.TU.Ap1.1381,-1.89858512788189
evm.TU.Ap1.1382,1.84598587743625
evm.TU.Ap1.1383,17.0990309037384
evm.TU.Ap1.1384,0.830283981655347
evm.TU.Ap1.1385,5.09672277016947
evm.TU.Ap1.1386,3.64757086265899
evm.TU.Ap1.1387,0.934735506108235
evm.TU.Ap1.1388,-2.81421875538472
evm.TU.Ap1.1389,-2.5899368942517
evm.TU.Ap1.139,-0.0122309024684278
evm.TU.Ap1.1390,-3.28929496772189
